Kod obce,Nazev obce,Volici v seznamu,Vydane obalky,Platne hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,ROZUMNÍ-stop migraci\,diktát.EU,Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
540226,Loučná nad Desnou,1430,813,811,72,1,1,67,1,37,77,9,7,9,3,1,53,0,22,270,1,1,45,1,0,2,0,128,3
540234,Lukavice,696,408,406,13,0,0,20,1,25,31,1,7,0,0,1,43,0,8,172,0,2,30,0,1,2,1,47,1
540331,Malá Morava,432,258,257,20,0,0,11,0,15,40,1,2,2,0,0,24,0,4,90,0,0,9,0,2,0,0,37,0
540366,Maletín,315,130,130,11,0,0,5,0,10,27,5,1,0,0,0,7,0,1,43,0,0,4,1,0,1,0,14,0
569381,Mírov,527,244,241,14,1,1,14,1,10,41,2,2,2,0,0,27,0,2,80,0,0,10,0,0,0,3,28,3
540471,Mohelnice,7534,4338,4301,318,17,26,327,5,157,456,80,22,56,3,6,390,3,134,1 433,5,8,260,0,24,5,10,546,10
540480,Moravičany,1054,663,654,51,1,3,38,0,72,52,3,4,3,0,0,54,0,16,204,0,2,81,0,1,1,4,63,1
553476,Nemile,533,351,347,27,0,0,13,0,72,19,1,1,4,0,1,16,0,8,87,0,1,48,0,3,0,0,45,1
540501,Nový Malín,2599,1704,1691,188,2,0,78,0,161,95,18,4,33,3,3,181,2,70,529,1,3,82,0,11,2,1,219,5
540510,Olšany,906,515,511,25,0,0,20,1,35,36,9,3,9,0,0,43,0,8,168,1,3,60,0,2,2,0,85,1
540544,Oskava,1088,600,599,32,0,0,36,2,30,73,6,3,9,0,0,40,0,8,197,0,2,44,0,5,0,0,110,2
540595,Palonín,286,203,203,8,1,1,9,2,6,31,3,3,1,0,0,9,0,3,68,0,1,13,2,3,0,0,38,1
540609,Pavlov,502,325,323,32,1,0,19,0,12,44,3,4,0,0,0,20,2,4,85,1,0,24,0,0,0,0,72,0
500020,Petrov nad Desnou,971,550,546,49,0,0,42,1,25,35,6,7,8,0,1,35,1,18,195,0,2,29,0,0,0,1,90,1
540650,Písařov,572,342,338,20,1,0,23,1,12,56,3,4,2,0,0,14,0,0,94,1,0,56,1,0,0,0,47,3
540731,Police,176,98,97,2,0,0,1,0,3,11,1,1,0,0,0,9,0,3,46,0,0,7,0,0,2,0,11,0
540773,Postřelmov,2507,1628,1614,94,1,0,110,3,134,148,18,9,12,3,1,144,1,29,464,1,1,182,0,5,1,2,228,23
553352,Postřelmůvek,272,185,183,6,0,0,12,0,15,13,2,1,1,0,0,11,0,3,84,1,0,20,0,0,0,0,14,0
